Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Rx DCS,DCS Polarity,TX Power,Comment,110121,1
1,440.9750,,,No Transmit,FM,ORI440,Tone,123.0 Hz,123.0 Hz,,,Both N,High,Primary Orinda Repeater--Linked to MOR440 and LAF440,,
2,147.7350,,,No Transmit,FM,HAMC,Tone,107.2 Hz,107.2 Hz,,,Both N,High,CCC RACES Central/East Resource Net,,
3,145.4100,,,No Transmit,FM,HAMS,Tone,107.2 Hz,107.2 Hz,,,Both N,High,CCC RACES South Resource Net,,
4,145.4900,,,No Transmit,FM,HAMW,Tone,107.2 Hz,107.2 Hz,,,Both N,High,CCC RACES West Resource Net,,
5,147.0600,,,No Transmit,FM,MDARC,Tone,100.0 Hz,100.0 Hz,,,Both N,High,MDARC Mt. Diablo Hospital Net,,
6,146.5350,,,No Transmit,FM,ESTCO,Tone,127.3 Hz,127.3 Hz,,,Both N,High,East CCC Net,,
7,145.6800,,,No Transmit,FM,CENCO,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Central CCC Net,,
8,145.1100,,,No Transmit,FM,WSTCO,Tone,82.5 Hz,82.5 Hz,,,Both N,High,West CCC Net,,
9,146.3550,,,No Transmit,FM,STHCO,Tone,77.0 Hz,77.0 Hz,,,Both N,High,South CCC Net,,
10,146.5200,,,No Transmit,FM,2MCALL,None,,,,,Both N,High,National 2M Simplex Calling Frequency,,
11,146.4600,,,No Transmit,FM,CANSPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Canyon Simplex Resource Net,,
12,146.5650,,,No Transmit,FM,LAFSPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Lafayette Simplex Resource Net,,
13,147.5850,,,No Transmit,FM,MORSPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Moraga Simplex Resource Net,,
14,147.5400,,,No Transmit,FM,ORISPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Orinda Simplex Resource Net,,
15,146.4150,,,No Transmit,FM,ECHO,Tone,127.3 Hz,127.3 Hz,,,Both N,High,KARO/ECHO Resource Net,,
16,146.4300,,,No Transmit,FM,HOSSPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Bay Area Hospital Resource Net,,
17,146.4450,,,No Transmit,FM,BLASPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Blackhawk Resource Net,,
18,146.4600,,,No Transmit,FM,WALSPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Walnut Creek Resource Net (also Canyon),,
19,146.4750,,,No Transmit,FM,KENSPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Kensington Resource Net,,
20,462.6250,,,No Transmit,FM,LAF-NO,Tone,77 Hz,77 Hz,,,Both N,High,North Lafayette GMRS,,
21,146.5050,,,No Transmit,FM,MARSPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Martinez Resource Net,,
22,146.5350,,,No Transmit,FM,CS131,Tone,127.3 Hz,127.3 Hz,,,Both N,High,East County & Comm Support 131,,
23,146.5500,,,No Transmit,FM,OKYSPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Oakley Resource Net,,
24,146.5950,,,No Transmit,FM,DANSPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Danville Resource Net,,
25,147.4050,,,No Transmit,FM,CONSPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Concord Resource Net,,
26,147.4200,,,No Transmit,FM,UN7420,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Unassigned 147.420,,
27,147.4350,,,No Transmit,FM,DIASPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Diablo Resource Net,,
28,147.4500,,,No Transmit,FM,ANTSPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Antioch or Richmond Resource Net,,
29,147.4650,,,No Transmit,FM,UN7465,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Unassigned 147.465,,
30,147.4800,,,No Transmit,FM,SRMSPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,San Ramon or Brentwood Resource Net,,
31,147.4950,,,No Transmit,FM,PLESPX,Tone,127.3 Hz,127.3 Hz,,,Both N,High,Pleasant Hill & San Pablo Resource Net,,
32,150.9950,,,No Transmit,FM,LPDPWP,Tone,123.0 Hz,123.0 Hz,,,Both N,High,LPD Public Works Portable Repeater,,
