YELLOW,110121,3,,,,,,,,,,,,
Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Rx DCS,DCS Polarity,TX Power,Comment
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,150.9950,156.0600,5.085 mHz,Plus,FM,LPDPWP,Tone,123.0 Hz,123.0 Hz,,,Both N,High,LPD Public Works Portable Repeater
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,
49,150.9950,156.0600,,Split,FM Narrow,MORPW,T Sql,136.5 Hz,136.5 Hz,,,Both N,High,Moraga PW Repeater
50,150.9950,150.9950,,Simplex,FM Narrow,MORPWS,T Sql,136.5 Hz,136.5 Hz,,,Both N,High,Moraga PW TA (simplex)
51,155.1150,155.4000,,Split,FM Narrow,LAFPW,T Sql,210.7 Hz,206.5 Hz,,,Both N,High,Lafayette PW Repeater
52,155.1150,155.1150,,Simplex,FM Narrow,LAFPWS,T Sql,123.0 Hz,123.0 Hz,,,Both N,High,Lafayette PW TA (simplex)
53,,,,,,,,,,,,,,
54,160.1100,,,No Transmit,FM Narrow,CONCEN,T Sql,141.3 Hz,141.3 Hz,,,Both N,High,CCC Fire Dispatch Central
55,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,
